imageURL,Building Name,Building Street Address,Building City,Building Descript,Link to URL
https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/assets/uploads/luxury_buildings/luxury_pic/photo/54924/extra_large_cabbfed84a022ad63108d5059f01dc72.jpg,The Allen,1711 Allen Parkway,Houston,"The Allen is the best of Houston in one place. It is where the sophistication of the theater district meets the prestige of River Oaks overlooking the serenity of Buffalo Bayou Park. You are minutes from everything you love, but a world away among the six acres of the Thompson Hotel, Residences at The Allen, world-class dining, retail, spa, fitness, and the city’s greatest outdoor amenity – Buffalo Bayou Park. Personalized Residences with Exquisite Hotel Services Residences at The Allen is changing the way Houstonians think about high rise living. From masterfully designed indoor and outdoor spaces to luxury conveniences and modern technology. The Allen has it all including room service! The 99 luxurious condominiums are designed from the inside-out. The residences offer floor to ceiling windows, chef-inspired kitchen with state-of-the-art appliances, Italian cabinetry and outdoor living areas with plunge pools, sky gardens, puppy porch potty, summer kitchens, and unobstructed views.",https://www.nanproperties.com/our-developments/1711-allen-parkway
https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/assets/uploads/luxury_buildings/luxury_pic/photo/54964/extra_large_93a6c57324ab7f3fb780b74eedba9087.jpg,Astoria,1409 Post Oak Boulevard,Houston,"Magnificent Condo in the Heart of Galleria! With an exquisite floor plan and a private elevator. This stunning condo has large floor-to-ceiling windows, crafted w/timeless contemporary finishes, great natural light, and exudes elegance. Premier location near Houston Galleria, this condo has unobstructed views of the Downtown skyline and Uptown. This property is ideally situated in a walkable neighborhood near high-end shopping, dining, and is just a few blocks from Mastro's & The Post Oak Hotel. The impeccable kitchen is outfitted with Eggersmann cabinetry, Miele appliances, wine chiller, and gorgeous countertops. Two assigned parking spaces, and a downstairs storage unit, amazing two master closets, perfect for today’s modern style of luxury living. The master bedroom & bathroom offer unmatched functionality and design. Towering above Post Oak Blvd., the full-service building includes amenities such as a social lounge, resort-style pool, state-of-the-art gym, valet & 24/7 concierge.",https://www.nanproperties.com/our-developments/1409-post-oak-boulevard
https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/assets/uploads/luxury_buildings/luxury_pic/photo/54993/extra_large_5ce77248f5b908216ca7e764ce6575f0.jpg,Arabella,4521 San Felipe St,Houston,"World-renowned Arabella is a 33-story high rise condominium positioned next to River Oaks District and 3-blocks from The Galleria. Located on the 13th Floor, this luxurious home features 2 Bedrooms, 2 Baths w/soaring 10’ceilings, floor-to-ceiling windows w/dramatic city views, and 2 balconies w/glass railing. Entertaining made easy in the open concept, Modern, European-style kitchen with waterfall island, wine fridge, Eggersmann soft-close cabinetry, and stainless steel Gaggenau appliances- Refrigerator included. Split floor plan w/spacious Owner's suite w/en suite bathroom featuring double vanities, large shower w/frameless shower & separate deep soaking tub. Building amenities include full-service valet, 24-hour concierge, two swimming pools including an indoor heated lap pool and outdoor infinity pool, hot tub, private lounge, fitness center, steam room, sauna, massage room, pet-friendly walk area, resident lounge w/ catering kitchen, and outdoor summer kitchen.",https://www.nanproperties.com/our-developments/4521-san-felipe
https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/assets/uploads/luxury_buildings/luxury_pic/photo/55098/extra_large_51d260914acf9fd4487c71d22f486dab.jpg,The Mosaic on Hermann Park,5925 Almeda Road,Houston,"Devised of two 30-story tall buildings, the Mosaic is a luxury condominium located in the Medical Center. It's the perfect home for TMC workers who'd like to avoid long hours in traffic by moving into the neighborhood. With a retail and grocery store, restaurants, a resort-style pool and access to the famous Museum district, the Mosaic lives up to its expectation of promoting an exclusive lifestyle to its tenants.",https://www.nanproperties.com/our-developments/the-mosaic-on-hermann-park
https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/assets/uploads/luxury_buildings/luxury_pic/photo/55023/extra_large_44903af4103da90727371971250ffa6c.jpg,Briarglenn,2211 Briarglen,Houston,"Conveniently located near a neighborhood target and some of Houston's popular restaurants, the Briarglen is a recently built luxury condominium marked by two neighboring towers that consist of their own entrances. Their premiere amenities include spacious common areas, a two-story parking garage, swimming pool, 2 fitness facilities, multiple elevators and lots of outdoor spaces.",https://www.nanproperties.com/our-developments/2211-briarglen
https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/assets/uploads/luxury_buildings/luxury_pic/photo/55027/extra_large_fcf78058fc2b36b33bdf243b61d6b800.jpg,Cosmopolitan,1600 Post Oak Boulevard,Houston,"High Living in a Luxurious Contemporary Penthouse, panorama from the 18th floor to Downtown & Galleria. Remodeled with designer finishes in 2018.Cantoni chandeliers, Miele appliances, R/O System, Italian flooring, quartz fireplace, Master suite, make up area, elegant marble bath, touchscreen remote toilet/bidet, Bainultra tub, shower with Italian fixtures, 2 BR with ensuite baths & balcony, wet bar, auto shades, rooftop terrace with fountain.Catch the tram for Post Oak dining, shopping and fun!",https://www.nanproperties.com/our-developments/1600-post-oak-boulevard
