Range,Search Link
"Under $50,000",https://www.nanproperties.com/searches/54230898?
"$50,000-$100,000",https://www.nanproperties.com/searches/54230892?
"$100,000-$200,000",https://www.nanproperties.com/searches/54230877?
"$200,000-$300,000",https://www.nanproperties.com/searches/54230856?
"$300,000-$400,000",https://www.nanproperties.com/searches/54230839?
"$400,000-$500,000",https://www.nanproperties.com/searches/54232906?
"$500,000-$1,000,000",https://www.nanproperties.com/searches/54232935?
"Over $1,000,000",https://www.nanproperties.com/searches/54232955?
